Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
The Killers - Mr. Brightside,3453,4,8,"","279,141","326,284,126"
Lewis Capaldi - Someone You Loved,1976,283,1,(x26),"667,950","297,858,780"
The Weeknd - Blinding Lights,1604,237,1,(x70),"637,003","238,775,407"
Drake - One Dance,2069,162,1,(x101),"842,439","236,321,654"
Ed Sheeran - Shape of You,1533,139,1,(x59),"1,322,199","213,521,308"
Vance Joy - Riptide,3021,"",11,"","220,296","212,716,980"
Dave - Location,1745,47,8,"","357,744","196,773,496"
Arctic Monkeys - Do I Wanna Know?,3042,"",18,"","176,130","185,886,916"
Oasis - Wonderwall - Remastered,2861,"",44,"","128,435","184,092,536"
Harry Styles - As It Was,793,295,1,(x60),"1,247,683","180,506,946"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1682,80,3,(x6),"385,222","177,304,692"
Mariah Carey - All I Want for Christmas Is You,519,277,1,(x76),"2,643,661","177,213,056"
Glass Animals - Heat Waves,1150,254,2,(x9),"331,529","176,556,265"
James Arthur - Say You Won't Let Go,2114,118,1,(x31),"561,464","174,525,446"
Wham! - Last Christmas,516,259,1,(x81),"2,889,765","171,878,873"
Hozier - Take Me To Church,2109,133,2,(x29),"240,958","160,737,779"
The Kooks - Naive,2673,"",44,"","132,832","159,767,208"
Olivia Rodrigo - good 4 u,887,152,1,(x45),"1,262,454","155,409,881"
Harry Styles - Watermelon Sugar,1353,72,3,(x2),"384,133","151,588,581"
George Ezra - Shotgun,1221,114,1,(x3),"623,378","148,288,423"
Tones And I - Dance Monkey,815,198,1,(x81),"702,851","147,361,316"
Post Malone - rockstar,1070,140,1,(x77),"627,836","145,390,085"
Juice WRLD - Lucid Dreams,1359,47,2,(x1),"401,486","144,160,847"
Ed Sheeran - Bad Habits,704,164,1,(x31),"776,280","135,336,120"
Tom Odell - Another Love,1226,2,10,"","202,765","133,994,303"
Calvin Harris - One Kiss,959,125,1,(x73),"895,455","132,808,918"
Joel Corry - Head & Heart,799,178,1,(x30),"727,539","130,972,558"
Fleetwood Mac - Dreams - 2004 Remaster,1475,"",16,"","209,096","128,635,525"
The Neighbourhood - Sweater Weather,1323,"",15,"","160,698","127,199,200"
French Montana - Unforgettable,908,154,2,(x25),"561,702","125,586,644"
