Artist and Title,Days,Pk,(x?),Total,Today
Ed Sheeran - ÷,1956,1,(x17),"16,392,904",381
"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",1341,1,(x69),"15,010,443","2,958"
Travis Scott - ASTROWORLD,1781,1,(x12),"14,775,374","4,065"
The Weeknd - After Hours,1544,1,(x12),"12,502,784","1,071"
Dua Lipa - Future Nostalgia,1049,1,(x38),"11,553,071",611
Taylor Swift - folklore,1410,1,(x27),"11,023,766","6,779"
Imagine Dragons - Evolve,1125,1,(x4),"10,693,969",228
Harry Styles - Fine Line,1194,1,(x16),"10,538,909",247
XXXTENTACION -,1126,1,(x28),"10,296,056",98
Taylor Swift - Lover,1599,1,(x7),"9,518,786","6,886"
Lady Gaga & Bradley Cooper - A Star Is Born Soundtrack,1213,1,(x16),"9,511,207",19
Billie Eilish - Dont Smile at Me,1091,2,(x6),"9,470,797",405
Taylor Swift - reputation,1517,1,(x12),"9,404,269","7,737"
Beyoncé - RENAISSANCE,676,1,(x68),"9,142,617","3,933"
The Weeknd - Starboy,1874,7,"","9,140,881",532
Olivia Rodrigo - SOUR,1083,1,(x38),"9,127,415","4,288"
XXXTENTACION - 17,1005,1,(x30),"8,898,089",0
Arctic Monkeys - AM,2485,8,"","8,784,286","2,889"
Taylor Swift - Midnights,593,1,(x33),"8,690,346","8,707"
Billie Eilish - Happier Than Ever,1052,1,(x29),"8,665,930","2,167"
Rammstein - RAMMSTEIN,1632,3,(x17),"8,152,774","2,785"
Post Malone - beerbongs & bentleys,883,1,(x27),"8,023,412",0
Queen - The Platinum Collection,1485,3,(x1),"7,934,445",230
Harry Styles - Harry's House,726,1,(x25),"7,648,099","1,831"
Taylor Swift - evermore,1176,1,(x27),"7,599,509","2,777"
PNL - Dans la légende,2483,33,"","6,946,248","1,450"
Pop Smoke - Shoot for the Stars Aim for the Moon,674,1,(x22),"6,944,542",0
Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,1524,16,"","6,572,663","4,991"
"Ariana Grande - thank u, next",773,1,(x49),"6,562,304",0
Drake - Scorpion,771,1,(x32),"6,476,800",25
Dua Lipa - Dua Lipa,655,6,"","6,187,377",0
Michael Bublé - Christmas,463,1,(x25),"6,165,063",0
Lana Del Rey - Born to Die - The Paradise Edition,1487,18,"","6,039,862","5,016"
Kendrick Lamar - DAMN.,649,4,"","5,967,044","1,784"
The Weeknd - Dawn FM,694,1,(x46),"5,953,850",219
